quote_date,1_C,2_C,3_C,4_C,5_C,6_C,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_C,17_C,18_C,19_C,20_C,21_C,22_C,23_C,24_C,25_C,26_C,27_C,28_C,29_C,30_C,31_C,32_C,33_C,34_C,35_C,1_P,2_P,3_P,4_P,5_P,6_P,7_P,8_P,9_P,10_P,11_P,12_P,13_P,14_P,15_P,16_P,17_P,18_P,19_P,20_P,21_P,22_P,23_P,24_P,25_P,26_P,27_P,28_P,29_P,30_P,31_P,32_P,33_P,34_P,35_P,1_C_S,2_C_S,3_C_S,4_C_S,5_C_S,6_C_S,7_C_S,8_C_S,9_C_S,10_C_S,11_C_S,12_C_S,13_C_S,14_C_S,15_C_S,16_C_S,17_C_S,18_C_S,19_C_S,20_C_S,21_C_S,22_C_S,23_C_S,24_C_S,25_C_S,26_C_S,27_C_S,28_C_S,29_C_S,30_C_S,31_C_S,32_C_S,33_C_S,34_C_S,35_C_S,1_P_S,2_P_S,3_P_S,4_P_S,5_P_S,6_P_S,7_P_S,8_P_S,9_P_S,10_P_S,11_P_S,12_P_S,13_P_S,14_P_S,15_P_S,16_P_S,17_P_S,18_P_S,19_P_S,20_P_S,21_P_S,22_P_S,23_P_S,24_P_S,25_P_S,26_P_S,27_P_S,28_P_S,29_P_S,30_P_S,31_P_S,32_P_S,33_P_S,34_P_S,35_P_S
2018-01-12,-68.29999999999995,-67.39999999999998,-71.10000000000002,-72.60000000000002,-75.70000000000005,-80.10000000000002,-82.80000000000001,-83.60000000000002,-86.19999999999999,-89.39999999999998,-94.5,-99.5,-104.80000000000001,-113.19999999999999,-120.69999999999999,-129.3,-122.9,-105.0,-93.9,-83.3,-69.4,-60.4,-48.0,-41.4,-32.8,-28.0,-23.5,-17.0,-9.4,-5.8,-4.0,-3.6,-2.6,-1.45,-1.0,-3.1,-5.1,-8.3,-10.3,-13.2,-17.8,-19.7,-22.7,-25.5,-28.8,-33.9,-38.5,-43.9,-52.4,-61.5,-70.3,-64.1,-46.099999999999994,-35.099999999999994,-25.200000000000003,-10.800000000000011,-2.8000000000000114,8.300000000000011,14.900000000000006,23.599999999999994,28.19999999999999,32.099999999999994,39.0,45.0,48.0,46.0,47.0,48.0,49.0,49.5,47.0,53.10000000000002,56.89999999999998,59.700000000000045,63.0,67.89999999999998,71.39999999999998,74.39999999999998,77.80000000000001,80.60000000000002,85.80000000000001,90.80000000000001,96.5,105.19999999999999,112.9,121.9,116.1,98.1,87.8,77.4,63.3,54.7,44.8,38.3,29.6,24.9,20.8,13.8,6.6,3.3,1.45,0.25,0.05,0.0,0.0,0.05,2.4,5.5,7.5,10.3,14.8,16.1,19.0,21.4,25.4,29.6,34.1,39.7,47.8,55.5,64.1,57.7,39.900000000000006,28.599999999999994,17.5,3.5999999999999943,-5.199999999999989,-16.69999999999999,-23.400000000000006,-32.5,-37.099999999999994,-41.900000000000006,-49.0,-57.19999999999999,-62.0,-67.30000000000001,-68.10000000000002,-69.20000000000005,-70.10000000000002,-71.0
2018-02-09,-263.0999999999999,-265.0,-268.20000000000005,-275.4000000000001,-284.5999999999999,-292.79999999999995,-297.29999999999995,-304.4,-310.79999999999995,-321.20000000000005,-330.6,-345.6,-359.1,-355.6,-300.0,-251.1,-237.8,-197.8,-117.0,-80.1,-62.5,-42.0,-30.6,-20.0,-13.2,-9.4,-6.6,-5.1,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-6.2,-8.7,-14.9,-23.6,-32.0,-36.3,-43.3,-52.6,-62.8,-72.0,-86.9,-103.3,-99.6,-43.900000000000006,5.099999999999994,18.5,56.599999999999994,139.3,173.8,187.39999999999998,205.0,216.39999999999998,226.7,233.60000000000002,237.5,241.89999999999998,243.5,244.79999999999995,245.60000000000002,246.20000000000005,246.60000000000002,247.0999999999999,247.4000000000001,248.5999999999999,243.0999999999999,245.0999999999999,248.29999999999995,255.4000000000001,263.79999999999995,272.6,277.5,285.1,291.9,302.70000000000005,312.20000000000005,327.4,341.0,337.8,282.4,233.7,220.4,183.4,101.9,68.1,50.5,36.0,24.6,15.0,8.2,4.4,1.6,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.7,9.9,18.6,26.0,30.3,37.3,40.6,50.8,60.0,74.9,88.1,84.6,28.69999999999999,-20.0,-33.400000000000006,-71.80000000000001,-154.4,-188.7,-206.5,-224.3,-236.2,-247.2,-254.60000000000002,-258.79999999999995,-262.4,-263.9,-265.0,-265.6,-266.0,-266.29999999999995,-266.79999999999995,-267.0999999999999,-268.5
2018-03-16,-713.0,-710.4000000000001,-715.2,-721.4,-674.4,-578.6,-461.9,-434.0,-393.3,-362.3,-327.5,-301.9,-264.7,-236.7,-206.0,-184.0,-152.9,-123.8,-117.8,-100.7,-91.0,-76.1,-67.3,-59.2,-50.3,-41.9,-35.2,-29.3,-24.3,-21.6,-13.8,-8.7,-6.0,-4.7,-3.4,-2.5,-4.8,-8.7,-14.2,32.3,128.1,245.3,272.8,313.4,344.7,379.4,404.7,441.7,469.6,500.0,522.2,552.9,581.1,587.0,604.0,614.6,629.0,637.5,645.6,654.1,661.4,667.7,674.0,678.5,680.9,688.6,693.8,696.5,697.8,698.6,692.0999999999999,699.0999999999999,704.0999999999999,710.5,663.8,568.2,452.1,424.2,383.9,353.0,318.5,293.2,256.4,228.8,198.4,176.7,146.0,118.0,112.1,95.3,85.2,70.6,62.0,54.4,45.3,37.8,30.6,24.8,19.8,17.1,9.7,4.2,1.55,0.25,0.0,0.0,0.6,4.2,9.7,-36.7,-132.6,-249.8,-277.4,-318.0,-348.9,-383.6,-409.5,-446.7,-474.5,-505.5,-527.3,-558.5,-587.1,-593.1,-610.2,-620.3,-635.4,-644.6,-652.5,-661.9,-670.3,-677.0,-683.7,-688.4,-691.0,-699.2,-704.9,-707.7,-709.2,-710.0
2018-04-13,-530.3,-531.3,-533.8,-538.7,-544.7,-557.8,-564.3,-519.3,-454.2,-390.7,-330.3,-291.4,-237.0,-219.4,-209.3,-189.6,-177.0,-158.7,-153.1,-141.4,-130.5,-125.4,-115.0,-105.2,-100.4,-91.4,-82.8,-78.5,-70.9,-53.6,-40.0,-29.5,-21.5,-6.9,-3.3,-2.6,-3.3,-5.4,-9.9,-15.9,-28.6,-35.1,9.600000000000001,75.1,138.2,198.7,237.2,291.5,308.7,318.9,338.2,350.7,368.9,374.9,386.2,397.0,402.2,412.6,422.4,426.8,436.0,444.3,448.3,455.7,472.6,486.1,496.6,504.5,519.2,522.2,520.5,521.5,524.2,529.4000000000001,535.6,549.2,556.1,511.4,446.7,383.4,323.6,284.9,231.0,213.5,203.5,184.0,171.5,153.5,148.0,136.4,125.5,120.6,110.4,100.7,95.9,87.1,78.5,74.3,66.8,49.9,36.3,25.8,17.8,3.3,0.05,0.05,0.0,1.9,6.3,12.2,24.9,31.5,-13.200000000000003,-78.8,-141.9,-202.6,-241.3,-296.1,-313.4,-323.6,-343.1,-355.8,-374.2,-380.1,-391.6,-402.6,-408.0,-418.5,-428.4,-433.0,-442.3,-450.8,-454.9,-462.5,-480.0,-494.0,-505.0,-513.2,-528.6,-532.0
2018-05-11,-607.3000000000002,-608.3,-609.0999999999999,-609.5999999999999,-610.0,-610.7,-611.4000000000001,-611.8,-608.2,-609.5,-611.2,-613.4,-566.3,-448.3,-357.3,-270.9,-192.6,-109.6,-95.7,-82.6,-70.8,-60.0,-50.4,-42.0,-34.8,-28.6,-18.8,-8.6,-4.6,-3.1,-2.55,-2.4,-2.2,-1.9,-1.8,-0.85,-2.3,-2.7,-2.95,-3.2,-3.7,-4.1,-4.7,-5.4,-6.7,-8.0,-10.0,37.0,156.0,246.7,331.7,410.5,492.3,506.1,518.8,530.6,541.2,550.7,559.0,566.3,572.1,580.8,591.0,595.0,590.8,591.6,592.1,592.5,592.8,593.0999999999999,587.8000000000002,588.8,589.5999999999999,590.0999999999999,591.0,591.7,592.4000000000001,593.2,599.0,600.5,602.2,604.6,557.7,440.1,349.7,264.7,187.2,105.3,91.6,78.7,67.0,56.4,47.3,38.9,31.4,25.6,16.2,5.4,1.95,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.65,1.25,2.05,3.3,4.8,6.8,-40.0,-158.4,-249.4,-335.1,-413.3,-496.3,-510.3,-523.3,-535.3,-546.2,-556.0,-564.5,-572.1,-578.4,-588.6,-599.9,-603.9,-610.1,-610.7,-611.2,-612.0,-612.3,-612.5999999999999
2018-06-15,-264.4000000000001,-266.0999999999999,-269.4000000000001,-276.9,-279.20000000000005,-281.0,-283.0,-285.0,-288.1,-291.9,-296.1,-301.2,-286.7,-254.5,-214.7,-183.9,-148.6,-115.4,-104.6,-98.9,-82.9,-74.8,-53.5,-30.6,-20.7,-14.0,-8.3,-6.0,-5.0,-3.7,-2.2,-1.75,-1.35,-1.15,-1.15,-1.4,-2.35,-5.4,-12.0,-14.2,-15.9,-17.9,-20.0,-23.1,-26.6,-31.2,-36.2,-23.200000000000003,10.100000000000001,49.9,80.3,115.6,147.6,159.3,165.0,180.7,188.0,209.1,231.5,241.39999999999998,248.39999999999998,254.10000000000002,255.8,257.6,258.5,260.1,260.4,261.29999999999995,261.79999999999995,262.5,255.9000000000001,257.5,261.20000000000005,268.70000000000005,271.5,273.0,275.20000000000005,277.5,280.5,284.4,289.2,294.3,281.8,248.7,208.9,179.0,143.9,112.1,100.2,94.6,78.9,71.8,50.6,27.5,17.4,11.1,5.4,3.2,1.7,1.1,1.1,0.0,0.0,0.0,0.0,0.05,0.05,2.7,8.9,11.0,12.3,14.5,16.6,19.7,23.1,27.9,32.8,19.799999999999997,-13.5,-53.4,-83.7,-119.2,-151.0,-163.0,-168.4,-184.7,-192.1,-214.1,-238.3,-248.8,-255.8,-262.0,-264.3,-266.2,-267.20000000000005,-268.79999999999995,-269.0,-269.79999999999995,-270.29999999999995,-271.0
2018-07-13,-389.9000000000001,-391.70000000000005,-391.5,-395.5,-400.29999999999995,-403.9,-406.29999999999995,-409.29999999999995,-412.79999999999995,-416.9,-421.8,-368.8,-325.9,-284.5,-236.3,-198.5,-162.8,-126.5,-117.3,-100.0,-83.7,-73.8,-64.5,-51.8,-48.0,-37.8,-31.8,-21.0,-12.8,-6.1,-2.05,-1.4,-1.1,-1.05,-1.05,-1.2,-1.85,-5.0,-8.6,-12.9,-16.6,-18.6,-22.5,-26.1,-30.1,-35.1,17.700000000000003,60.5,102.0,149.4,186.9,222.2,258.5,267.6,284.3,300.7,310.5,319.6,331.8,335.4,345.7,351.0,361.2,369.1,374.4,375.79999999999995,376.20000000000005,376.9,377.5999999999999,377.9000000000001,371.4000000000001,373.0999999999999,379.9000000000001,384.5,389.9,393.70000000000005,396.4,399.9,403.8,408.4,413.8,361.5,319.3,277.9,230.4,193.3,158.5,123.0,114.1,96.7,81.0,71.2,62.0,49.5,45.7,35.7,30.1,19.6,11.2,4.1,0.2,0.1,0.0,0.0,0.0,0.05,0.05,2.9,6.3,10.8,14.2,16.7,20.2,23.8,28.0,33.0,-19.799999999999997,-62.6,-104.1,-151.9,-189.7,-225.4,-261.6,-270.8,-288.4,-304.8,-314.9,-324.2,-337.0,-340.9,-351.5,-357.7,-369.2,-378.0,-385.5,-394.1,-395.20000000000005,-395.9,-396.5,-397.0999999999999
2018-08-17,48.799999999999955,47.799999999999955,45.700000000000045,43.799999999999955,39.39999999999998,37.700000000000045,36.5,34.200000000000045,31.399999999999977,29.200000000000045,25.0,19.600000000000023,15.0,6.399999999999977,-5.5,-10.0,-25.599999999999994,-49.400000000000006,-80.9,-47.5,-24.6,-12.9,-7.0,-3.5,-2.2,-1.65,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-3.1,-5.0,-7.0,-10.9,-12.4,-13.7,-15.9,-18.4,-20.6,-24.7,-30.0,-34.9,-43.1,-54.0,-63.2,-80.7,-103.9,-135.0,-106.6,-86.1,-74.0,-70.0,-67.30000000000001,-66.20000000000005,-65.60000000000002,-65.29999999999995,-65.0,-64.70000000000005,-64.5,-64.29999999999995,-64.09999999999991,-63.59999999999991,-63.09999999999991,-62.299999999999955,-68.09999999999991,-67.09999999999991,-63.90000000000009,-61.90000000000009,-58.700000000000045,-56.10000000000002,-54.799999999999955,-53.299999999999955,-50.5,-48.299999999999955,-42.10000000000002,-36.89999999999998,-33.60000000000002,-24.80000000000001,-10.300000000000011,-0.5999999999999943,14.5,44.900000000000006,76.0,42.1,20.1,8.3,3.0,0.25,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1.8,3.1,7.1,8.4,9.6,11.7,14.3,16.1,20.1,25.0,31.0,39.0,50.1,58.2,75.8,99.8,130.7,95.30000000000001,68.80000000000001,56.80000000000001,51.10000000000002,47.89999999999998,47.0,46.39999999999998,46.0,45.700000000000045,45.39999999999998,45.10000000000002,45.0,44.799999999999955,44.299999999999955,43.799999999999955,43.0
2018-09-14,-12.799999999999955,-13.200000000000045,-14.0,-14.900000000000091,-16.299999999999955,-18.200000000000045,-21.799999999999955,-24.899999999999977,-39.10000000000002,-43.30000000000001,-48.60000000000002,-54.89999999999998,-55.69999999999999,-64.30000000000001,-74.80000000000001,-87.19999999999999,-102.19999999999999,-120.2,-91.5,-66.9,-47.0,-31.8,-20.9,-13.5,-8.9,-6.0,-3.7,-2.85,-1.55,-1.25,-1.15,-1.15,-1.1,-1.1,-1.1,-1.35,-2.05,-2.6,-3.4,-4.1,-5.9,-9.0,-14.8,-26.0,-30.1,-35.2,-41.3,-48.7,-57.5,-68.2,-81.0,-96.0,-114.1,-85.9,-61.69999999999999,-42.19999999999999,-27.400000000000006,-22.5,-15.100000000000023,-10.5,-7.699999999999989,-5.5,-4.600000000000023,-3.3999999999999773,-2.6000000000000227,-1.900000000000091,-2.099999999999909,-1.0,-0.599999999999909,0.09999999999990905,-6.7000000000000455,-6.2999999999999545,-5.5,-4.5,-3.099999999999909,-1.0,2.5,8.600000000000023,20.19999999999999,24.0,29.80000000000001,35.5,50.0,59.5,70.4,83.0,98.69999999999999,117.0,88.7,64.4,44.6,29.4,18.4,11.2,6.4,3.6,1.35,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.45,1.9,1.85,3.5,6.5,12.5,23.5,27.6,32.7,39.0,46.2,55.1,65.6,78.1,93.0,111.0,82.19999999999999,57.5,36.80000000000001,21.0,3.6999999999999886,-3.6000000000000227,-8.800000000000011,-10.800000000000011,-13.800000000000011,-14.800000000000011,-15.299999999999955,-16.899999999999977,-17.5,-17.40000000000009,-18.5,-18.59999999999991,-19.5
2018-10-12,-68.0,-69.0,-73.29999999999995,-79.09999999999991,-80.79999999999995,-83.70000000000005,-88.29999999999995,-92.60000000000002,-95.70000000000005,-104.20000000000005,-112.0,-120.70000000000005,-135.5,-149.2,-165.2,-184.3,-206.39999999999998,-192.0,-162.7,-123.5,-100.0,-70.4,-54.2,-35.5,-22.6,-16.3,-10.5,-7.9,-5.5,-4.2,-3.7,-2.8,-2.7,-2.65,-2.65,-5.0,-7.0,-10.0,-15.0,-18.0,-20.9,-25.8,-30.3,-35.5,-42.0,-49.9,-59.3,-75.0,-89.3,-106.1,-125.7,-148.6,-135.4,-106.80000000000001,-68.1,-45.5,-17.19999999999999,-1.8999999999999773,16.80000000000001,29.0,36.299999999999955,42.89999999999998,43.700000000000045,48.0,49.39999999999998,48.10000000000002,51.09999999999991,51.59999999999991,52.5,53.09999999999991,47.299999999999955,50.90000000000009,54.90000000000009,60.0,62.700000000000045,65.70000000000005,70.70000000000005,75.60000000000002,81.5,88.5,96.70000000000005,106.5,122.10000000000002,136.2,153.3,173.2,196.3,183.4,154.7,115.8,92.9,64.2,48.6,31.0,19.0,12.0,6.0,3.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,2.3,5.8,10.5,13.0,16.2,20.6,25.0,30.2,37.0,44.9,54.0,68.7,82.5,98.7,118.3,140.4,125.19999999999999,95.6,55.5,32.5,2.3999999999999773,-14.199999999999989,-34.30000000000001,-48.10000000000002,-54.80000000000001,-60.799999999999955,-64.10000000000002,-67.29999999999995,-68.79999999999995,-69.39999999999998,-70.79999999999995,-71.29999999999995,-71.90000000000009,-72.5
